;CountryCode;EVTOL;HOTOL;NAPTOL;ORATOL;EVIG;HOIG;NAPIG;ORAIG
;A;1916;04;30;22:59:59;1916;10;1;00:59:59
;A;1917;04;16;01:59:59;1917;09;17;02:59:59
;A;1918;04;15;01:59:59;1918;09;16;02:59:59
;A;1920;04;5;01:59:59;1920;09;13;02:59:59
;A;1940;04;1;01:59:59;1942;11;2;02:59:59
;A;1943;03;29;01:59:59;1943;10;4;02:59:59
;A;1944;04;3;01:59:59;1944;10;2;02:59:59
;A;1945;04;2;01:59:59;1945;04;12;02:59:59
;A;1946;04;14;01:59:59;1946;10;6;02:59:59
;A;1947;04;6;01:59:59;1947;10;5;02:59:59
;A;1948;04;18;01:59:59;1948;10;3;02:59:59
;A;1980;04;5;23:59:59;1980;09;27;23:59:59
;A;1981;03;29;01:59:59;1981;09;27;02:59:59
;A;1982;03;28;01:59:59;1982;09;26;02:59:59
;A;1983;03;27;01:59:59;1983;09;25;02:59:59
;A;1984;03;25;01:59:59;1984;09;30;02:59:59
;A;1985;03;31;01:59:59;1985;09;29;02:59:59
;A;1986;03;30;01:59:59;1986;09;28;02:59:59
;A;1987;03;29;01:59:59;1987;09;27;02:59:59
;A;1988;03;27;01:59:59;1988;09;25;02:59:59
;A;1989;03;26;01:59:59;1989;09;24;02:59:59
;A;1990;03;25;01:59:59;1990;09;30;02:59:59
;A;1991;03;31;01:59:59;1991;09;29;02:59:59
;A;1992;03;29;01:59:59;1992;09;27;02:59:59
;A;1993;03;28;01:59:59;1993;09;26;02:59:59
;A;1994;03;27;01:59:59;1994;09;25;02:59:59
;A;1995;03;26;01:59:59;1995;09;24;02:59:59
;A;1996;03;31;01:59:59;1996;10;27;02:59:59
;A;1997;03;30;01:59:59;1997;10;26;02:59:59
;A;1998;03;29;01:59:59;1998;10;25;02:59:59
;A;1999;03;28;01:59:59;1999;10;31;02:59:59
;A;2000;03;26;01:59:59;2000;10;29;02:59:59
;A;2001;03;25;01:59:59;2001;10;28;02:59:59
;A;2002;03;31;01:59:59;2002;10;27;02:59:59
;A;2003;03;30;01:59:59;2003;10;26;02:59:59
;A;2004;03;28;01:59:59;2004;10;31;02:59:59
;A;2005;03;27;01:59:59;2005;10;30;02:59:59
;A;2006;03;26;01:59:59;2006;10;29;02:59:59
;A;2007;03;25;01:59:59;2007;10;28;02:59:59
;A;2008;03;30;01:59:59;2008;10;26;02:59:59
;A;2009;03;29;01:59:59;2009;10;25;02:59:59
;A;2010;03;28;01:59:59;2010;10;31;02:59:59
;A;2011;03;27;01:59:59;2011;10;30;02:59:59
;A;2012;03;25;01:59:59;2012;10;28;02:59:59
;A;2013;03;31;01:59:59;2013;10;27;02:59:59
;A;2014;03;30;01:59:59;2014;10;26;02:59:59
;A;2015;03;29;01:59:59;2015;10;25;02:59:59
;A;2016;03;27;01:59:59;2016;10;30;02:59:59
;A;2017;03;26;01:59:59;2017;10;29;02:59:59
;A;2018;03;25;01:59:59;2018;10;28;02:59:59
;A;2019;03;31;01:59:59;2019;10;27;02:59:59
;AL;1940;06;15;23:59:59;1942;11;2;02:59:59
;AL;1943;03;29;01:59:59;1943;04;10;02:59:59
;AL;1974;05;3;23:59:59;1974;10;1;23:59:59
;AL;1975;04;30;23:59:59;1975;10;1;23:59:59
;AL;1976;05;1;23:59:59;1976;10;2;23:59:59
;AL;1977;05;7;23:59:59;1977;10;1;23:59:59
;AL;1978;05;5;23:59:59;1978;09;30;23:59:59
;AL;1979;05;4;23:59:59;1979;09;29;23:59:59
;AL;1980;05;2;23:59:59;1980;10;3;23:59:59
;AL;1981;04;25;23:59:59;1981;09;26;23:59:59
;AL;1982;05;1;23:59:59;1982;10;2;23:59:59
;AL;1983;04;17;23:59:59;1983;09;30;23:59:59
;AL;1984;03;31;23:59:59;1984;09;30;02:59:59
;AL;1985;03;31;01:59:59;1985;09;29;02:59:59
;AL;1986;03;30;01:59:59;1986;09;28;02:59:59
;AL;1987;03;29;01:59:59;1987;09;27;02:59:59
;AL;1988;03;27;01:59:59;1988;09;25;02:59:59
;AL;1989;03;26;01:59:59;1989;09;24;02:59:59
;AL;1990;03;25;01:59:59;1990;09;30;02:59:59
;AL;1991;03;31;01:59:59;1991;09;29;02:59:59
;AL;1992;03;29;01:59:59;1992;09;27;02:59:59
;AL;1993;03;28;01:59:59;1993;09;26;02:59:59
;AL;1994;03;27;01:59:59;1994;09;25;02:59:59
;AL;1995;03;26;01:59:59;1995;09;24;02:59:59
;AL;1996;03;31;01:59:59;1996;10;27;02:59:59
;AL;1997;03;30;01:59:59;1997;10;26;02:59:59
;AL;1998;03;29;01:59:59;1998;10;25;02:59:59
;AL;1999;03;28;01:59:59;1999;10;31;02:59:59
;AL;2000;03;26;01:59:59;2000;10;29;02:59:59
;AL;2001;03;25;01:59:59;2001;10;28;02:59:59
;AL;2002;03;31;01:59:59;2002;10;27;02:59:59
;AL;2003;03;30;01:59:59;2003;10;26;02:59:59
;AL;2004;03;28;01:59:59;2004;10;31;02:59:59
;AL;2005;03;27;01:59:59;2005;10;30;02:59:59
;AL;2006;03;26;01:59:59;2006;10;29;02:59:59
;AL;2007;03;25;01:59:59;2007;10;28;02:59:59
;AL;2008;03;30;01:59:59;2008;10;26;02:59:59
;AL;2009;03;29;01:59:59;2009;10;25;02:59:59
;AL;2010;03;28;01:59:59;2010;10;31;02:59:59
;AL;2011;03;27;01:59:59;2011;10;30;02:59:59
;AL;2012;03;25;01:59:59;2012;10;28;02:59:59
;AL;2013;03;31;01:59:59;2013;10;27;02:59:59
;AL;2014;03;30;01:59:59;2014;10;26;02:59:59
;AL;2015;03;29;01:59:59;2015;10;25;02:59:59
;AL;2016;03;27;01:59:59;2016;10;30;02:59:59
;AL;2017;03;26;01:59:59;2017;10;29;02:59:59
;AL;2018;03;25;01:59:59;2018;10;28;02:59:59
;AL;2019;03;31;01:59:59;2019;10;27;02:59:59
;AND;1985;03;31;01:59:59;1985;09;29;02:59:59
;AND;1986;03;30;01:59:59;1986;09;28;02:59:59
;AND;1987;03;29;01:59:59;1987;09;27;02:59:59
;AND;1988;03;27;01:59:59;1988;09;25;02:59:59
;AND;1989;03;26;01:59:59;1989;09;24;02:59:59
;AND;1990;03;25;01:59:59;1990;09;30;02:59:59
;AND;1991;03;31;01:59:59;1991;09;29;02:59:59
;AND;1992;03;29;01:59:59;1992;09;27;02:59:59
;AND;1993;03;28;01:59:59;1993;09;26;02:59:59
;AND;1994;03;27;01:59:59;1994;09;25;02:59:59
;AND;1995;03;26;01:59:59;1995;09;24;02:59:59
;AND;1996;03;31;01:59:59;1996;10;27;02:59:59
;AND;1997;03;30;01:59:59;1997;10;26;02:59:59
;AND;1998;03;29;01:59:59;1998;10;25;02:59:59
;AND;1999;03;28;01:59:59;1999;10;31;02:59:59
;AND;2000;03;26;01:59:59;2000;10;29;02:59:59
;AND;2001;03;25;01:59:59;2001;10;28;02:59:59
;AND;2002;03;31;01:59:59;2002;10;27;02:59:59
;AND;2003;03;30;01:59:59;2003;10;26;02:59:59
;AND;2004;03;28;01:59:59;2004;10;31;02:59:59
;AND;2005;03;27;01:59:59;2005;10;30;02:59:59
;AND;2006;03;26;01:59:59;2006;10;29;02:59:59
;AND;2007;03;25;01:59:59;2007;10;28;02:59:59
;AND;2008;03;30;01:59:59;2008;10;26;02:59:59
;AND;2009;03;29;01:59:59;2009;10;25;02:59:59
;AND;2010;03;28;01:59:59;2010;10;31;02:59:59
;AND;2011;03;27;01:59:59;2011;10;30;02:59:59
;AND;2012;03;25;01:59:59;2012;10;28;02:59:59
;AND;2013;03;31;01:59:59;2013;10;27;02:59:59
;AND;2014;03;30;01:59:59;2014;10;26;02:59:59
;AND;2015;03;29;01:59:59;2015;10;25;02:59:59
;AND;2016;03;27;01:59:59;2016;10;30;02:59:59
;AND;2017;03;26;01:59:59;2017;10;29;02:59:59
;AND;2018;03;25;01:59:59;2018;10;28;02:59:59
;AND;2019;03;31;01:59:59;2019;10;27;02:59:59
;ARM;1981;03;31;23:59:59;1981;09;30;23:59:59
;ARM;1982;03;31;23:59:59;1982;09;30;23:59:59
;ARM;1983;03;31;23:59:59;1983;09;30;23:59:59
;ARM;1984;03;31;23:59:59;1984;09;30;02:59:59
;ARM;1985;03;31;01:59:59;1985;09;29;02:59:59
;ARM;1986;03;30;01:59:59;1986;09;28;02:59:59
;ARM;1987;03;29;01:59:59;1987;09;27;02:59:59
;ARM;1988;03;27;01:59:59;1988;09;25;02:59:59
;ARM;1989;03;26;01:59:59;1989;09;24;02:59:59
;ARM;1990;03;25;01:59:59;1990;09;30;02:59:59
;ARM;1991;09;29;02:59:59;1992;03;28;22:59:59
;ARM;1992;09;26;22:59:59;1993;03;28;01:59:59
;ARM;1993;09;26;02:59:59;1994;03;27;01:59:59
;ARM;1994;09;25;02:59:59;1995;03;26;01:59:59
;ARM;1997;03;30;01:59:59;1997;10;26;02:59:59
;ARM;1998;03;29;01:59:59;1998;10;25;02:59:59
;ARM;1999;03;28;01:59:59;1999;10;31;02:59:59
;ARM;2000;03;26;01:59:59;2000;10;29;02:59:59
;ARM;2001;03;25;01:59:59;2001;10;28;02:59:59
;ARM;2002;03;31;01:59:59;2002;10;27;02:59:59
;ARM;2003;03;30;01:59:59;2003;10;26;02:59:59
;ARM;2004;03;28;01:59:59;2004;10;31;02:59:59
;ARM;2005;03;27;01:59:59;2005;10;30;02:59:59
;ARM;2006;03;26;01:59:59;2006;10;29;02:59:59
;ARM;2007;03;25;01:59:59;2007;10;28;02:59:59
;ARM;2008;03;30;01:59:59;2008;10;26;02:59:59
;ARM;2009;03;29;01:59:59;2009;10;25;02:59:59
;ARM;2010;03;28;01:59:59;2010;10;31;02:59:59
;ARM;2011;03;27;01:59:59;2011;10;30;02:59:59
;ARM;2012;03;25;01:59:59;2012;10;28;02:59:59
;ARM;2013;03;31;01:59:59;2013;10;27;02:59:59
;ARM;2014;03;30;01:59:59;2014;10;26;02:59:59
;ARM;2015;03;29;01:59:59;2015;10;25;02:59:59
;ARM;2016;03;27;01:59:59;2016;10;30;02:59:59
;ARM;2017;03;26;01:59:59;2017;10;29;02:59:59
;ARM;2018;03;25;01:59:59;2018;10;28;02:59:59
;ARM;2019;03;31;01:59:59;2019;10;27;02:59:59
;ASB;1981;03;31;23:59:59;1981;09;30;23:59:59
;ASB;1982;03;31;23:59:59;1982;09;30;23:59:59
;ASB;1983;03;31;23:59:59;1983;09;30;23:59:59
;ASB;1984;03;31;23:59:59;1984;09;30;02:59:59
;ASB;1985;03;31;01:59:59;1985;09;29;02:59:59
;ASB;1986;03;30;01:59:59;1986;09;28;02:59:59
;ASB;1987;03;29;01:59:59;1987;09;27;02:59:59
;ASB;1988;03;27;01:59:59;1988;09;25;02:59:59
;ASB;1989;03;26;01:59:59;1989;09;24;02:59:59
;ASB;1990;03;25;01:59:59;1990;09;30;02:59:59
;ASB;1991;09;29;02:59:59;1992;03;28;22:59:59
;ASB;1996;03;31;04:59:59;1996;10;27;05:59:59
;ASB;1997;03;30;03:59:59;1997;10;26;04:59:59
;ASB;1998;03;29;03:59:59;1998;10;25;04:59:59
;ASB;1999;03;28;03:59:59;1999;10;31;04:59:59
;ASB;2000;03;26;03:59:59;2000;10;29;04:59:59
;ASB;2001;03;25;03:59:59;2001;10;28;04:59:59
;ASB;2002;03;31;03:59:59;2002;10;27;04:59:59
;ASB;2003;03;30;03:59:59;2003;10;26;04:59:59
;ASB;2004;03;28;03:59:59;2004;10;31;04:59:59
;ASB;2005;03;27;03:59:59;2005;10;30;04:59:59
;ASB;2006;03;26;03:59:59;2006;10;29;04:59:59
;ASB;2007;03;25;03:59:59;2007;10;28;04:59:59
;ASB;2008;03;30;03:59:59;2008;10;26;04:59:59
;ASB;2009;03;29;03:59:59;2009;10;25;04:59:59
;ASB;2010;03;28;03:59:59;2010;10;31;04:59:59
;ASB;2011;03;27;03:59:59;2011;10;30;04:59:59
;ASB;2012;03;25;03:59:59;2012;10;28;04:59:59
;ASB;2013;03;31;03:59:59;2013;10;27;04:59:59
;ASB;2014;03;30;03:59:59;2014;10;26;04:59:59
;ASB;2015;03;29;03:59:59;2015;10;25;04:59:59
;ASB;2016;03;27;03:59:59;2016;10;30;04:59:59
;ASB;2017;03;26;03:59:59;2017;10;29;04:59:59
;ASB;2018;03;25;03:59:59;2018;10;28;04:59:59
;ASB;2019;03;31;03:59:59;2019;10;27;04:59:59
;AUS;2010;04;4;02:59:59;2010;10;3;01:59:59
;AUS;2011;04;3;02:59:59;2011;10;2;01:59:59
;AUS;2012;04;1;02:59:59;2012;10;7;01:59:59
;AUS;2013;04;7;02:59:59;2013;10;6;01:59:59
;AUS;2014;04;6;02:59:59;2014;10;5;01:59:59
;AUS;2015;04;5;02:59:59;2015;10;4;01:59:59
;AUS;2016;04;3;02:59:59;2016;10;2;01:59:59
;AUS;2017;04;2;02:59:59;2017;10;1;01:59:59
;AUS;2018;04;1;02:59:59;2018;10;7;01:59:59
;AUS;2019;04;7;02:59:59;2019;10;6;01:59:59
;AUS;2010;04;4;02:59:59;2010;10;3;01:59:59
;AUS;2011;04;3;02:59:59;2011;10;2;01:59:59
;AUS;2012;04;1;02:59:59;2012;10;7;01:59:59
;AUS;2013;04;7;02:59:59;2013;10;6;01:59:59
;AUS;2014;04;6;02:59:59;2014;10;5;01:59:59
;AUS;2015;04;5;02:59:59;2015;10;4;01:59:59
;AUS;2016;04;3;02:59:59;2016;10;2;01:59:59
;AUS;2017;04;2;02:59:59;2017;10;1;01:59:59
;AUS;2018;04;1;02:59:59;2018;10;7;01:59:59
;AUS;2019;04;7;02:59:59;2019;10;6;01:59:59
;AUS;2010;04;4;02:59:59;2010;10;3;01:59:59
;AUS;2011;04;3;02:59:59;2011;10;2;01:59:59
;AUS;2012;04;1;02:59:59;2012;10;7;01:59:59
;AUS;2013;04;7;02:59:59;2013;10;6;01:59:59
;AUS;2014;04;6;02:59:59;2014;10;5;01:59:59
;AUS;2015;04;5;02:59:59;2015;10;4;01:59:59
;AUS;2016;04;3;02:59:59;2016;10;2;01:59:59
;AUS;2017;04;2;02:59:59;2017;10;1;01:59:59
;AUS;2018;04;1;02:59:59;2018;10;7;01:59:59
