;TimeZoneCode;DisplayName;Delta;Group;Type;Order
;LMT;Local Mean Time;-9999;LMT,1;Base
;DAT;Date Time;-1200;DAT,1;Base
;NTT;Niue Standard Time;-1130;NTT,1;Base
;NUT;Niue Time;-1120;NTT,2;Base
;BRST;Bering Standard Time;-1100;BRST,1;Base
;BRDT;Bering Daylight Time;-1000;BRST,2;Summer
;BRWT;Bering War Time;-1000;BRST,3;War
;NAT;Nome Time;-1100;NAT,1;Base
;KBT;Kiribati Time;-1040;KBT,1;Base
;HST;Hawaiian Standard Time;-1030;HST,1;Base
;HDT;Hawaiian Daylight Time;-930;HST,2;Summer
;HWT;Hawaiian War Time;-930;HST,3;War
;AHST;Alaska+Hawaiian Standard Time;-1000;AHST,1;Base
;AHDT;Alaska+Hawaiian Daylight Time;-900;AHST,2;Summer
;AHWT;Alaska+Hawaiian War Time;-900;AHST,3;War
;COT;Cook Island Time;-930;COT,1;Base
;YST;Yukon Standard Time;-900;YST,1;Base
;YDT;Yukon Daylight Time;-800;YST,2;Summer
;YWT;Yukon War Time;-800;YST,3;War
;PCT;Pitcairn Time;-830;PCT,1;Base
;PST;Pacific Standard Time;-800;PST,1;Base
;PDT;Pacific Daylight Time;-700;PST,2;Summer
;PWT;Pacific War Time;-700;PST,3;War
;MST;Mountain Standard Time;-700;MST,1;Base
;MDT;Mountain Daylight Time;-600;MST,2;Summer
;MWT;Mountain War Time;-600;MST,3;War
;CST;Central Standard Time;-600;CST,1;Base
;CDT;Central Daylight Time;-500;CST,2;Summer
;CWT;Central War Time;-500;CST,3;War
;CRLT;Costa Rica Local Time;-536;CRLT,1;Base
;BLZ/S;Belice Summer Time;-530;BLZ/S,1;Summer
;ECLT;Ecuador Local Time;-514;ECLT,1;Base
;CAYLT;Cayman Islands Local Time;-507;CAYLT,1;Base
;EST;Eastern Standard Time;-500;EST,1;Base
;EDT;Eastern Daylight Time;-400;EST,2;Summer
;EWT;Eastern War Time;-400;EST,3;War
;COLT;Columbia Local Time;-456;COLT,1;Base
;RHLT;Haiti Local Time;-449;RHLT,1;Base
;RCHLT;Chile Local Time;-443;RCHLT,1;Base
;DRLMT;Dominican Republic Local Time;-440;DRLMT,1;Base
;BST;Bolivian Standard Time;-430;BST,1;Base
;BST/S;Bolivian Summer Time;-330;BST,2;Summer
;RALT;Argentina Local Time;-416;RALT,1;Base
;AST;Atlantic Standard Time;-400;AST,1;Base
;AST/S;Atlantic Standard Summer Time;-300;AST,2;Summer
;BDSLT;Barbados Local Time;-358;BDSLT,1;Base
;FPYLT;Paraguay Local Time;-350;FPYLT,1;Base
;GUT;Guam Time;-345;GUT,1;Base
;ULT;Uruguay Local Time;-345;ULT,1;Base
;SULMT;Suriname Local Time;-341;SULMT,1;Base
;BZT;Brazil Zone 2 Time;-300;BZT,1;Base
;BZT/S;Brazil Zone 2 Summer Time;-200;BZT,2;Summer
;AZT;Azores Time;-200;AZT,1;Base
;AZT/S;Azores Summer Time;-100;AZT,2;Summer
;AZT/DS;Azores Double Summer Time;0;AZT,3;DoubleSummer
;WAT;West African Time;-100;WAT,1;Base
;WAT/S;West African Summer Time;0;WAT,2;Summer
